time	gsr	ecg	emg_trapezius	emg_corrugator	emg_zygomaticus
182891	1.453292e+01	3.341590e+02	-5.916511e-01	-3.385634e-01	-7.916359e+00
184844	1.453572e+01	3.457021e+02	-4.705511e-01	-6.395022e-01	-2.871920e+01
186797	1.453328e+01	3.437945e+02	-3.551641e-01	-1.040336e+01	-1.794244e+01
188750	1.453254e+01	3.308765e+02	-2.629323e-01	-4.625188e+00	1.552571e+01
190703	1.452828e+01	3.248314e+02	-2.385578e-01	1.106799e-01	3.574825e+01
192656	1.452754e+01	3.187126e+02	-5.191486e-01	-9.746439e-03	2.359970e+01
194609	1.452773e+01	3.076984e+02	-1.184134e+00	1.852083e+00	6.956002e+00
196563	1.453018e+01	3.032977e+02	-1.688013e+00	1.263964e+01	-1.957593e+01
198516	1.452882e+01	2.966046e+02	-1.791715e+00	-7.224471e-01	-6.679125e+00
200469	1.452764e+01	2.893264e+02	-1.589096e+00	6.555580e-01	-1.730456e+00
202422	1.453054e+01	2.653984e+02	-9.432795e-01	-1.634356e+00	5.606061e+00
204375	1.452882e+01	2.366871e+02	-4.842079e-01	-1.231887e+01	4.777811e+00
206328	1.452764e+01	2.263768e+02	-4.607424e-01	-2.416218e+00	1.379040e+01
208281	1.452673e+01	2.214157e+02	-7.028204e-01	7.097046e-01	-4.533404e+00
210234	1.452791e+01	1.908837e+02	-3.044438e-01	-3.677203e-03	-3.722721e+01
212188	1.452263e+01	1.698738e+02	-3.154927e+00	-2.027370e-01	-1.475508e+01
214141	1.452346e+01	1.536014e+02	-8.232723e+00	1.439647e+00	1.574659e+01
216094	1.452345e+01	1.446324e+02	-1.070766e+01	1.347536e+01	2.008737e+01
218047	1.451945e+01	1.289703e+02	-9.103805e+00	5.321202e+00	-6.569244e+01
220000	1.451927e+01	1.067989e+02	-3.747858e+00	9.030227e-01	-1.009659e+02
221953	1.452064e+01	8.914417e+01	1.611547e+00	6.771182e-01	-1.154608e+01
223906	1.452100e+01	7.510784e+01	3.185789e+00	-5.137637e+00	4.964587e+01
225859	1.451909e+01	6.350164e+01	4.063662e+00	-8.103785e+00	6.108742e+01
227813	1.451673e+01	3.970061e+01	9.350035e+00	1.007306e-01	5.356546e+01
229766	1.451855e+01	1.740526e+01	1.377793e+01	4.411058e-01	5.113796e+01
231719	1.451936e+01	-1.292991e+01	1.347193e+01	3.605400e-01	2.888312e+01
233672	1.451836e+01	-1.927928e+01	9.837557e+00	5.080362e-01	9.548551e+00
235625	1.451545e+01	-2.766647e+01	2.396022e+00	3.335006e+00	-4.643333e+00
237578	1.451272e+01	-3.923690e+01	-4.963717e-01	4.473762e-01	-1.127934e+01
239531	1.451328e+01	-3.316200e+01	-2.057443e+00	-7.012804e-02	-1.175547e+01
241484	1.451719e+01	-2.022353e+01	-8.402565e+00	-1.036902e-01	1.438283e+00
243438	1.451900e+01	-3.185583e+01	-1.488013e+01	-2.249019e-02	7.609667e+00
245391	1.451772e+01	-3.463707e+01	-1.465805e+01	-3.193185e-01	-8.328530e+01
247344	1.451636e+01	-4.064408e+01	-6.080841e+00	-6.214175e+00	-1.094216e+02
249297	1.451791e+01	-5.912782e+01	-3.823882e+00	-8.069064e+00	-3.621537e+01
251250	1.451645e+01	-6.464710e+01	1.995845e+00	2.989429e-01	6.352639e+01
253203	1.451309e+01	-7.696155e+01	6.546357e+00	-2.531329e-01	8.930781e+01
255156	1.451008e+01	-8.708472e+01	5.045895e+00	4.220894e+00	3.568391e+01
257109	1.451347e+01	-9.916146e+01	1.075435e+00	1.528108e+01	1.460005e+01
259063	1.451344e+01	-1.043215e+02	1.235634e+00	-8.552329e-01	-3.711090e+01
261016	1.451008e+01	-9.938478e+01	3.430035e+00	-6.314019e-03	-6.359551e+01
262969	1.451156e+01	-6.391403e+01	3.675624e+00	-7.425857e+00	-2.988733e+01
264922	1.450980e+01	-4.987362e+01	2.300906e+00	-2.179335e+01	2.463225e+01
266875	1.451120e+01	-6.423498e+01	4.999719e-01	-2.246251e+01	5.882761e+01
268828	1.450725e+01	-7.248751e+01	1.211060e-01	-1.663590e+01	4.409825e+01
270781	1.450336e+01	-8.765375e+01	2.026550e-01	-2.167309e+00	4.086948e+01
272734	1.450683e+01	-1.007592e+02	2.944407e-01	9.913057e-01	2.369176e+01
274688	1.450644e+01	-1.147260e+02	6.637133e-01	2.374975e+01	5.919165e+00
276641	1.450500e+01	-1.196560e+02	1.046636e+00	2.566068e+01	-6.693926e+00
278594	1.450372e+01	-1.204068e+02	1.403406e+00	9.681862e+00	-1.889417e+01
280547	1.450492e+01	-1.040685e+02	1.433595e+00	-5.511569e-01	-3.863865e+01
282500	1.450536e+01	-1.020074e+02	1.096052e+00	-8.334939e+00	-6.344579e+01
284453	1.450116e+01	-1.071207e+02	8.109362e-01	-2.641386e+01	-5.610615e+01
286406	1.450412e+01	-9.004894e+01	7.208841e-01	-2.781838e+01	-2.215839e+01
288359	1.450124e+01	-1.078290e+02	8.120783e-01	-1.089319e+01	2.449558e+01
290313	1.450312e+01	-1.063583e+02	1.037922e+00	-3.634244e+00	3.649703e+01
292266	1.450344e+01	-1.085194e+02	1.403627e+00	6.894251e-01	1.803382e+01
294219	1.450072e+01	-1.194473e+02	1.372953e+00	1.761120e+01	2.560303e+01
296172	1.450256e+01	-1.149671e+02	1.103462e+00	2.899641e+01	2.151567e+01
298125	1.450016e+01	-1.082119e+02	8.629424e-01	1.313150e+01	6.703947e+00
300078	1.449672e+01	-9.930164e+01	5.697877e-01	-5.471784e-01	-9.430221e-02
302031	1.449920e+01	-8.895620e+01	3.702057e-01	-8.071169e+00	6.062472e+00
303984	1.450100e+01	-8.207168e+01	3.434810e-01	-3.018633e+01	1.105277e+01
305938	1.450036e+01	-8.928380e+01	3.606915e-01	-1.927095e+01	1.094330e+01
307891	1.450000e+01	-8.943999e+01	3.679212e-01	-3.085485e+00	8.285062e+00
309844	1.449872e+01	-9.942104e+01	3.777202e-01	-9.376166e-02	-3.952558e+00
311797	1.449992e+01	-1.073434e+02	3.871374e-01	1.913726e-01	-2.518109e+01
313750	1.449843e+01	-1.060008e+02	3.954069e-01	1.072933e+01	-4.063995e+01
315703	1.449700e+01	-1.099455e+02	4.085083e-01	3.010358e+01	-2.394930e+01
317656	1.449957e+01	-9.901985e+01	4.169067e-01	2.238112e+01	-3.709322e+01
319609	1.450164e+01	-8.729755e+01	6.595127e-01	1.151918e-01	-6.450521e+01
321563	1.449879e+01	-9.141119e+01	5.462929e-01	-6.838208e-01	-4.689363e+01
323516	1.449700e+01	-9.394702e+01	3.849006e-01	-2.067023e+01	1.343574e+01
325469	1.449572e+01	-9.050490e+01	2.361904e-01	-2.862613e+01	4.793460e+01
327422	1.449628e+01	-8.187524e+01	-5.954646e-01	-1.771538e+01	6.999189e+01
329375	1.449764e+01	-8.389880e+01	1.252364e+00	-4.035956e-01	5.464266e+01
331328	1.449479e+01	-9.782431e+01	2.009257e+00	-2.874224e-01	4.419201e+01
333281	1.449493e+01	-1.041827e+02	1.814957e+00	1.248149e+00	3.243117e+01
335234	1.449343e+01	-1.036730e+02	-3.355818e+00	2.326531e+01	1.346841e+01
337188	1.449714e+01	-1.130100e+02	-3.372623e+00	2.683809e+01	-7.575736e+00
339141	1.449807e+01	-9.582213e+01	1.846515e+00	8.113970e+00	-1.418387e+01
341094	1.449636e+01	-8.952962e+01	8.270738e-01	-6.508623e-01	-1.945790e+01
343047	1.449793e+01	-9.125728e+01	-1.893905e-01	-1.566897e+01	-1.424483e+01
345000	1.449707e+01	-8.018678e+01	-3.625368e-02	-2.686098e+01	-1.849359e+01
346953	1.449536e+01	-8.755740e+01	2.910961e-01	-1.895371e+01	-2.476256e+01
348906	1.449243e+01	-8.750740e+01	6.120673e-01	6.210154e-01	-3.414727e+01
350859	1.449421e+01	-8.915078e+01	5.461830e-01	-9.967746e-02	-2.563165e+01
352813	1.449664e+01	-9.274225e+01	5.648962e-01	4.667155e+00	-9.555631e+00
354766	1.449378e+01	-9.082377e+01	6.608421e-01	2.729917e+01	2.308755e+00
356719	1.449007e+01	-9.113286e+01	1.236422e+00	2.391662e+01	2.459608e-01
358672	1.449286e+01	-7.943439e+01	1.847604e+00	2.936869e+00	6.217384e+00
360625	1.449243e+01	-6.931665e+01	2.169074e+00	-8.890876e-02	1.046583e+01
362578	1.449229e+01	-7.862387e+01	2.212081e+00	-1.313928e+01	4.340273e+00
364531	1.449171e+01	-8.727491e+01	1.913588e+00	-2.487990e+01	-7.352619e+00
366484	1.449357e+01	-8.852274e+01	1.237025e+00	-1.790119e+01	5.942986e+00
368438	1.449178e+01	-9.215698e+01	6.984807e-01	-1.308521e+01	1.091688e+01
370391	1.449064e+01	-9.979546e+01	6.142539e-01	-1.208702e+00	2.485083e+01
372344	1.449229e+01	-1.025622e+02	6.376134e-01	6.744569e-01	3.070185e+01
374297	1.449171e+01	-9.985266e+01	6.474111e-01	1.170274e+01	1.825801e+01
376250	1.448971e+01	-9.046511e+01	5.617281e-01	2.563636e+01	2.219809e+00
378203	1.449093e+01	-8.747710e+01	3.168573e-02	1.639657e+01	-1.566488e+01
380156	1.449007e+01	-8.206491e+01	-4.487030e-01	1.272251e-01	-4.575163e+00
382109	1.448900e+01	-7.412311e+01	-5.225223e-01	-9.595908e-01	1.172550e+01
384063	1.449029e+01	-7.632653e+01	-3.057870e-01	-2.538505e+01	1.600483e+01
386016	1.449294e+01	-7.840618e+01	1.922807e-01	-1.914445e+01	1.257307e+01
387969	1.448948e+01	-8.293397e+01	6.127646e-01	-1.098698e+01	8.474886e+00
389922	1.448635e+01	-8.083424e+01	6.926629e-01	-2.553680e-01	6.865420e-01
391875	1.448535e+01	-7.430493e+01	6.789951e-01	2.642890e-01	-1.138784e+00
393828	1.448435e+01	-7.627720e+01	6.891498e-01	4.805004e+00	-1.749786e+01
395781	1.448594e+01	-7.899725e+01	6.828915e-01	2.470757e+01	-4.866914e+01
397734	1.448829e+01	-7.697102e+01	7.631726e-01	2.354251e+01	-7.570660e+01
399688	1.448577e+01	-7.387524e+01	1.172074e+00	-5.271869e-01	-2.437514e+01
401641	1.448917e+01	-6.884602e+01	1.471677e+00	-4.013801e+00	3.066167e+01
403594	1.448813e+01	-6.440947e+01	1.438661e+00	-2.544087e+01	3.020732e+01
405547	1.448342e+01	-7.352516e+01	8.911536e-01	-1.927528e+01	1.346103e+01
407500	1.448394e+01	-7.879891e+01	7.801040e-01	-7.437112e+00	1.951845e+01
409453	1.448500e+01	-7.877654e+01	5.593262e-01	-1.417296e+00	3.058231e+01
411406	1.448565e+01	-8.825557e+01	1.756561e+00	2.568947e-01	3.890063e+01
413359	1.448406e+01	-6.162374e+01	1.524005e+00	1.150279e+00	1.974015e+01
415313	1.448688e+01	-4.305720e+01	8.557810e-01	1.840475e+01	1.518590e+01
417266	1.448835e+01	-5.040793e+01	-1.260477e+00	2.466926e+01	-8.124688e+00
419219	1.448477e+01	-4.463844e+01	-4.153654e+00	3.078085e+00	-6.909648e+01
421172	1.448688e+01	-3.722199e+01	-7.917664e+00	-2.480852e-01	-7.652099e+01
423125	1.449029e+01	-4.871139e+01	-7.981044e+00	-1.614136e+01	-4.232659e+01
425078	1.448777e+01	-6.567342e+01	-6.443462e+00	-2.522029e+01	8.438396e+00
427031	1.448988e+01	-7.555726e+01	-4.778468e+00	-1.892695e+01	2.620100e+01
428984	1.448683e+01	-8.183015e+01	-1.387918e+00	-1.096045e+01	1.763098e+01
430938	1.448594e+01	-8.731628e+01	5.589230e-01	5.696092e-01	1.381503e+01
432891	1.448635e+01	-8.559149e+01	1.284912e+00	1.266031e+00	1.693504e+01
434844	1.448471e+01	-9.076784e+01	5.161951e-01	2.199777e+01	7.282850e+00
436797	1.448335e+01	-9.973458e+01	3.164908e+00	2.484564e+01	2.050772e+01
438750	1.447976e+01	-9.449772e+01	6.923171e+00	4.743757e+00	8.089594e+00
440703	1.448447e+01	-7.023161e+01	1.049331e+01	4.808767e-02	8.005677e-01
442656	1.448865e+01	-5.304821e+01	1.035052e+01	-7.816185e+00	7.438938e+00
444609	1.448123e+01	-5.394406e+01	9.790249e+00	-2.187653e+01	3.305956e+00
446563	1.448542e+01	-6.454830e+01	5.302541e+00	-2.506751e+01	1.085707e+01
448516	1.448611e+01	-8.117991e+01	6.768256e+00	-1.358958e+01	1.393093e+01
450469	1.448270e+01	-8.218804e+01	-1.034206e+00	8.683683e-01	2.061196e+01
452422	1.448135e+01	-8.446036e+01	-5.382310e+00	-1.096515e-01	9.372689e-01
454375	1.448230e+01	-6.265140e+01	-1.087400e+01	5.638493e+00	-2.363549e+01
456328	1.448494e+01	-4.305490e+01	-1.836181e+01	2.587993e+01	-5.689154e+01
458281	1.448600e+01	-3.099311e+01	-1.985712e+01	1.085117e+01	-3.880757e+01
460234	1.448665e+01	-4.174865e+01	-1.747056e+01	-5.013273e-01	-3.279678e+01
462188	1.448311e+01	-6.657636e+01	-1.213141e+01	-1.045633e+01	-5.063449e+01
464141	1.448360e+01	-9.532979e+01	-3.649669e+00	-2.501317e+01	-2.333811e+01
466094	1.447981e+01	-1.085783e+02	9.740643e-01	-2.034030e+01	5.104212e+01
468047	1.448414e+01	-1.207219e+02	3.395985e-01	-1.108657e+01	8.917547e+01
470000	1.448086e+01	-1.266899e+02	4.968000e+00	4.502869e-01	6.773372e+01
471953	1.448154e+01	-1.189488e+02	1.512895e+01	4.895601e-01	3.078118e+01
473906	1.448335e+01	-1.116518e+02	2.100813e+01	1.309836e+01	-7.176658e+00
475859	1.448105e+01	-9.516958e+01	1.703466e+01	2.193554e+01	-2.589296e+01
477813	1.447935e+01	-8.597772e+01	9.276991e+00	1.137881e+01	-4.037248e+01
479766	1.447900e+01	-7.251494e+01	6.808425e+00	-6.824024e-01	-4.119054e+01
481719	1.447965e+01	-6.746732e+01	-1.687164e+00	-7.483943e+00	-2.563566e+01
483672	1.448260e+01	-6.242631e+01	-9.860437e+00	-1.814338e+01	6.536888e-01
485625	1.448335e+01	-6.189173e+01	-8.800893e+00	-1.773380e+01	2.113261e+01
487578	1.448170e+01	-6.537844e+01	-4.248043e+00	-8.916692e+00	1.853538e+01
489531	1.448100e+01	-6.229923e+01	-1.806701e-01	2.331056e-01	1.957086e+01
491484	1.447905e+01	-4.585511e+01	9.522960e-01	2.600532e-01	5.470670e+00
493438	1.447800e+01	-3.294058e+01	-2.976722e-01	9.322183e+00	4.513950e+00
495391	1.447670e+01	-2.530333e+01	-1.739393e+00	1.254731e+01	9.232393e-01
497344	1.447795e+01	-1.950509e+01	-2.572345e+00	1.602029e+00	-3.428816e+00
499297	1.447900e+01	-1.345218e+01	-2.664221e+00	1.687948e+00	-5.023360e+00
501250	1.447900e+01	-4.027794e+00	-2.040977e+00	-7.707541e+00	-3.462836e+00
503203	1.447900e+01	2.513845e+00	-3.082344e-01	-8.776641e+00	-2.015830e+00
505156	1.447900e+01	1.239419e+00	5.134583e-01	-2.331819e-01	9.216560e+00
507109	1.448355e+01	-7.639111e+00	4.037480e-01	-1.154157e+01	1.951085e+01
509063	1.447754e+01	-2.738790e+01	3.444018e-01	-1.060648e+01	1.730813e+01
511016	1.447495e+01	-3.936510e+01	2.841343e-01	6.879430e+00	1.156511e+01
512969	1.447665e+01	-4.290177e+01	2.347735e-01	-1.003538e+00	-1.744747e+01
514922	1.447700e+01	-3.230513e+01	1.904438e-01	1.138768e+00	-8.455454e+01
516875	1.447700e+01	-1.680030e+01	1.527968e-01	1.815318e+01	-8.873958e+01
518828	1.447830e+01	1.106927e+00	1.216745e-01	1.136951e+01	-3.097551e+01
520781	1.447705e+01	1.945444e+01	9.753531e-02	-3.575108e+00	1.360251e+01
522734	1.447535e+01	1.918040e+01	8.068635e-02	-3.644995e+00	1.655244e+01
524688	1.447630e+01	2.994199e+01	7.142997e-02	-1.961835e+01	3.016080e+01
526641	1.447700e+01	3.529848e+01	7.026035e-02	-1.769454e+01	4.005706e+01
528594	1.447700e+01	2.746936e+01	7.720854e-02	-4.505878e-01	5.220814e+01
530547	1.447635e+01	1.351856e+01	9.465834e-02	-9.700777e-01	3.666331e+01
532500	1.447665e+01	7.913139e+00	1.196291e-01	4.068598e-01	1.269141e+01
534453	1.447309e+01	8.021436e+00	1.674366e-01	2.133297e+01	5.076126e-01
536406	1.447035e+01	1.190141e+01	1.786081e-01	1.571329e+01	-8.529168e+00
538359	1.447261e+01	2.349657e+01	3.710576e-01	8.729754e+00	7.188632e+00
540313	1.447792e+01	3.175694e+01	-3.846760e-01	9.522540e+00	-1.300316e+01
542266	1.447674e+01	3.688932e+01	-1.032378e+00	-1.335321e+01	-1.600957e+01
544219	1.447435e+01	3.430750e+01	7.165427e-02	-1.340918e+01	7.092001e+00
546172	1.447400e+01	2.962108e+01	6.977101e-01	-1.062346e-01	3.756028e+00
548125	1.447269e+01	2.484546e+01	3.740027e-01	-6.714939e+00	-3.130130e+00
550078	1.447461e+01	9.670529e+00	1.679875e+00	-1.596499e+01	-3.391275e+01
552031	1.447535e+01	-5.115357e+00	1.245513e+00	-1.767773e+00	-1.278022e+01
553984	1.447500e+01	-2.440976e+01	4.878902e-01	-8.159733e-01	2.163916e+00
555938	1.447173e+01	-5.451344e+01	5.838643e-01	8.547335e+00	1.395565e+01
557891	1.447261e+01	-6.402962e+01	5.530129e-01	9.510895e+00	-2.391744e+01
559844	1.447857e+01	-6.912435e+01	5.577553e-01	-1.294527e+00	-2.890156e+01
561797	1.447969e+01	-8.171394e+01	5.529582e-01	-5.802840e-01	-4.787341e+00
563750	1.447508e+01	-9.198073e+01	5.507278e-01	-8.262388e-01	1.611130e+01
565703	1.447561e+01	-1.030116e+02	5.477740e-01	-6.801105e+00	1.334784e+01
567656	1.447700e+01	-1.134625e+02	5.451564e-01	-1.601761e+01	9.237209e+00
569609	1.447635e+01	-1.106284e+02	5.414810e-01	3.104177e-01	2.146194e+01
571563	1.447731e+01	-1.187343e+02	5.356885e-01	-1.245535e+00	1.430256e+01
573516	1.447342e+01	-1.224986e+02	5.292991e-01	5.906677e-01	1.259223e+01
575469	1.447100e+01	-1.214796e+02	5.230583e-01	2.012270e+01	8.708510e+00
577422	1.447296e+01	-1.199535e+02	5.167602e-01	1.972955e+01	7.003966e+00
579375	1.447335e+01	-1.156577e+02	5.105643e-01	2.701011e+00	4.452441e+00
581328	1.447235e+01	-1.178891e+02	5.040444e-01	1.549455e+00	-8.544599e-01
583281	1.447265e+01	-1.184822e+02	4.987509e-01	-1.117506e+01	-3.521954e+00
585234	1.447300e+01	-1.205548e+02	4.889141e-01	-2.127546e+01	7.098364e-01
587188	1.447300e+01	-1.252726e+02	4.960622e-01	-2.302825e+01	3.102972e+00
589141	1.447758e+01	-1.341849e+02	3.816574e-01	-5.428627e+00	3.315864e+00
591094	1.447542e+01	-1.368438e+02	1.961794e-02	-4.123271e-01	5.369266e-01
593047	1.446907e+01	-1.301224e+02	3.661451e-01	-1.409735e-01	-5.117230e+00
595000	1.446962e+01	-1.220116e+02	2.820400e-01	1.098847e+01	-2.223739e+01
596953	1.447231e+01	-1.164423e+02	1.689830e+00	2.448687e+01	-1.784797e+01
598906	1.447234e+01	-1.016302e+02	1.008471e+00	5.360997e+00	-6.748692e+00
600859	1.446938e+01	-1.087586e+02	5.081575e-01	-1.877820e+00	4.226222e+00
602813	1.447128e+01	-1.160109e+02	-7.690783e-01	-2.586718e+01	-1.706819e+01
